accession	Domain	Phylum	Class	Order	Family	Genus	Species
GB_GCA_000200715.1	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrosopumilaceae	g__Cenarchaeum	s__Cenarchaeum symbiosum
GB_GCA_000247545.1	d__Archaea	p__Thermoproteota	c__Thermoproteia	o__Thermoproteales	f__Thermoproteaceae	g__Pyrobaculum	s__Pyrobaculum oguniense
GB_GCA_000306725.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanolobus	s__Methanolobus psychrophilus
GB_GCA_002009975.1	d__Archaea	p__Methanobacteriota	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Thermococcus_C	s__Thermococcus_C sp002009975
GB_GCA_002501765.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanotrichales	f__Methanotrichaceae	g__UBA204	s__UBA204 sp002501765
GB_GCA_002855745.1	d__Archaea	p__Thermoproteota	c__Thermoproteia	o__Thermofilales	f__Thermofilaceae	g__Thermofilum_A	s__Thermofilum_A sp002855745
GB_GCA_003020965.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Natronomonas	s__Natronomonas sp003020965
GB_GCA_003158115.1	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobacterium_B	s__Methanobacterium_B sp003158115
GB_GCA_003315655.1	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobrevibacter_C	s__Methanobrevibacter_C sp003315655
GB_GCA_003551675.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__PWKY01	f__PWKY01	g__PWHR01	s__PWHR01 sp003551675
GB_GCA_003600755.1	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__UBA588	s__UBA588 sp002509085
GB_GCA_004028775.1	d__Archaea	p__Thermoproteota	c__Methanomethylicia	o__Methanomethylicales	f__Methanomethylicaceae	g__Methanosuratus	s__Methanosuratus subterraneum_A
GB_GCA_011056395.1	d__Archaea	p__Thermoproteota	c__Thermoproteia	o__Sulfolobales	f__AG1	g__AG1	s__AG1 sp011056395
GB_GCA_011363045.1	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Caldarchaeales	f__NZ13-MGT	g__NZ13-MG1	s__NZ13-MG1 sp011363045
GB_GCA_011364605.1	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Caldarchaeales	f__Caldarchaeaceae	g__Caldarchaeum	s__Caldarchaeum subterraneum_B
GB_GCA_013538715.1	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrosocaldaceae	g__JACAFH01	s__JACAFH01 sp013538715
GB_GCA_013911135.1	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrosopumilaceae	g__Nitrosopumilus	s__Nitrosopumilus sp013911135
GB_GCA_902386205.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanoperedenaceae	g__Methanoperedens	s__Methanoperedens sp902386205
GB_GCA_902788255.1	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobrevibacter_A	s__Methanobrevibacter_A sp902788255
RS_GCF_000011005.1	d__Archaea	p__Halobacteriota	c__Methanocellia	o__Methanocellales	f__Methanocellaceae	g__Methanocella	s__Methanocella paludicola
RS_GCF_000012285.1	d__Archaea	p__Thermoproteota	c__Thermoproteia	o__Sulfolobales	f__Sulfolobaceae	g__Sulfolobus	s__Sulfolobus acidocaldarius
RS_GCF_000022365.1	d__Archaea	p__Methanobacteriota	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Thermococcus	s__Thermococcus gammatolerans
RS_GCF_000022545.1	d__Archaea	p__Methanobacteriota	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Thermococcus_A	s__Thermococcus_A sibiricus
RS_GCF_000186365.1	d__Archaea	p__Thermoproteota	c__Thermoproteia	o__Sulfolobales	f__Desulfurococcaceae	g__Desulfurococcus	s__Desulfurococcus mucosus
RS_GCF_000328665.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanomethylovorans	s__Methanomethylovorans hollandica
RS_GCF_000336615.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula amylolytica
RS_GCF_000336815.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloferax	s__Haloferax prahovense
RS_GCF_000336915.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halococcaceae	g__Halococcus	s__Halococcus saccharolyticus
RS_GCF_000337675.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natronococcus	s__Natronococcus amylolyticus
RS_GCF_000337815.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloferax	s__Haloferax mucosum
RS_GCF_001647085.1	d__Archaea	p__Methanobacteriota	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Thermococcus	s__Thermococcus piezophilus
RS_GCF_001953745.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrinema	s__Natrinema saccharevitans
RS_GCF_002072215.1	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobrevibacter_C	s__Methanobrevibacter_C arboriphilus
RS_GCF_002214605.1	d__Archaea	p__Methanobacteriota	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Pyrococcus	s__Pyrococcus chitonophagus
RS_GCF_002287175.1	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobacterium_D	s__Methanobacterium_D bryantii
RS_GCF_002287215.1	d__Archaea	p__Halobacteriota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanocorpusculaceae	g__Methanocorpusculum	s__Methanocorpusculum parvum
RS_GCF_003351865.1	d__Archaea	p__Methanobacteriota	c__Methanococci	o__Methanococcales	f__Methanococcaceae	g__Methanofervidicoccus	s__Methanofervidicoccus sp003351865
RS_GCF_003862495.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halomarina	s__Halomarina oriensis_A
RS_GCF_004765805.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haladaptataceae	g__Halorussus	s__Halorussus sp004765805
RS_GCF_006861655.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halonotius	s__Halonotius roseus
RS_GCF_008389435.1	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__Nitrosocosmicus	s__Nitrosocosmicus sp008389435
